,DEPT,GR,SP,RHOB,DPHI,NPHI,VSHALE,PHIT,PHIE
163,326.5,59.3801,-66.3071,2.466,0.142693,0.284421,0.6170650481077614,0.22500733042503304,0.08616317125171107
164,327.0,76.4587,-64.52,2.4349,0.160866,0.287247,0.6279823027581783,0.23279680943367756,0.08660453297075991
165,327.5,92.5901,-62.1124,2.4042,0.178821,0.293811,0.6426901435596689,0.2432096356664349,0.08690120000487908
166,328.0,103.666,-60.1225,2.3867,0.189055,0.302809,0.6548462876080516,0.2524233383683054,0.08712485233218954
167,328.5,106.7123,-58.9565,2.3854,0.18983899999999998,0.31092400000000003,0.6619692907541465,0.2575971464292646,0.0870757461071923
168,329.0,101.965,-58.5944,2.3979,0.18252300000000002,0.31558800000000004,0.6641813314395675,0.2577890913838288,0.08657038943792104
169,329.5,97.5927,-58.9291,2.419,0.170157,0.317672,0.6621366752191576,0.2548223932791229,0.08609514102189585
170,330.0,95.5261,-59.9065,2.4424,0.156502,0.319935,0.6561658147774826,0.25184447604523713,0.0865927402238059
171,330.5,91.2991,-61.5272,2.4627,0.14463499999999999,0.32290599999999997,0.646265084761294,0.25018749775018734,0.08850005331044647
172,331.0,83.5004,-63.826,2.4764,0.136584,0.32380400000000004,0.6322218946821834,0.2484997177785118,0.09139275537659322
173,331.5,71.2892,-66.7963,2.482,0.133307,0.319861,0.6140765634258836,0.2450324627166776,0.09456377008383929
174,332.0,56.428,-70.2532,2.4818,0.13347799999999999,0.312216,0.5929586306851156,0.2400991536219984,0.09773028826164303
175,332.5,43.9613,-73.7872,2.4808,0.134051,0.30499,0.5713697000519259,0.23557225080747518,0.10097340452305104
176,333.0,37.8355,-76.8838,2.4805,0.13422499999999998,0.301378,0.5524528119368338,0.23328635784053037,0.10440665346502692
177,333.5,36.5016,-79.0522,2.4767,0.136427,0.30180399999999996,0.5392062252970464,0.23419861308833576,0.10791726295517078
178,334.0,36.3182,-79.8461,2.4672,0.14200200000000002,0.30464800000000003,0.5343563520571795,0.23767096152874884,0.11066997353632436
179,334.5,38.8711,-78.9295,2.4547,0.14928,0.307821,0.5399557900363481,0.24190730294991097,0.11128805407002959
180,335.0,49.5586,-76.3286,2.4416,0.156977,0.310081,0.5558444854760378,0.24575598170746527,0.10915387450262068
181,335.5,71.1717,-72.6579,2.4282,0.164817,0.311698,0.5782685057576591,0.24931936015179404,0.10514582630036044
182,336.0,97.0734,-68.9757,2.4175,0.17106300000000002,0.31395,0.6007627786432084,0.2528113451459408,0.10093169896353821
183,336.5,117.0406,-66.2843,2.4114,0.17459499999999997,0.317729,0.6172043315312014,0.2563543752952151,0.09813134445603315
184,337.0,127.4235,-65.0728,2.4027,0.179705,0.32284799999999997,0.624605290631968,0.2612706624642346,0.09807962440215452
